Feature1,Feature2,Feature3,Label1,Label2,Label3,Label4
8.0,17.0,16.0,0,1,1,0
11.0,17.0,15.0,1,0,0,1
25.0,15.0,20.0,0,0,1,1
7.0,17.0,29.0,1,1,1,0
15.0,27.0,22.0,0,1,1,1
10.0,13.0,17.0,1,1,1,0
5.0,26.0,9.0,0,1,0,1
16.0,17.0,17.0,0,0,0,0
5.0,20.0,10.0,0,1,0,0
10.0,13.0,28.0,0,0,1,1
12.0,15.0,25.0,1,0,1,0
7.0,12.0,17.0,0,0,0,0
6.0,16.0,25.0,0,1,1,0
11.0,15.0,20.0,0,0,1,1
16.0,13.0,15.0,0,0,0,0
10.0,21.0,17.0,0,1,1,1
10.0,9.0,22.0,1,0,1,0
10.0,36.0,12.0,0,1,0,0
5.0,14.0,15.0,0,1,1,0
14.0,22.0,30.0,1,0,0,1
4.0,30.0,11.0,0,1,0,0
26.0,15.0,19.0,0,0,0,0
10.0,35.0,10.0,0,1,0,0
18.0,27.0,8.0,0,1,0,1
8.0,13.0,26.0,1,1,1,0
2.0,29.0,18.0,1,1,0,0
11.0,33.0,14.0,0,1,0,0
6.0,19.0,23.0,1,1,1,0
10.0,28.0,12.0,1,1,0,1
20.0,18.0,15.0,0,0,0,0
7.0,34.0,8.0,0,1,0,0
10.0,20.0,12.0,1,1,0,1
13.0,7.0,32.0,0,0,1,0
14.0,23.0,16.0,1,1,1,1
9.0,15.0,27.0,0,1,1,0
13.0,20.0,15.0,0,0,0,0
8.0,20.0,29.0,1,0,0,0
7.0,15.0,16.0,0,1,1,0
12.0,26.0,12.0,1,1,0,1
6.0,13.0,21.0,0,1,1,0
14.0,17.0,24.0,0,0,0,0
19.0,15.0,23.0,0,0,1,1
20.0,18.0,10.0,0,0,0,0
11.0,7.0,29.0,1,0,1,0
3.0,21.0,24.0,1,0,0,0
3.0,22.0,23.0,1,0,0,0
6.0,29.0,16.0,0,1,0,0
21.0,19.0,5.0,0,0,0,1
20.0,12.0,20.0,0,0,1,1
9.0,38.0,8.0,0,1,0,0
10.0,34.0,10.0,0,1,0,0
16.0,22.0,7.0,0,0,0,1
10.0,21.0,20.0,0,1,1,0
16.0,34.0,6.0,0,1,0,1
22.0,12.0,17.0,0,0,0,0
9.0,17.0,14.0,0,1,1,1
5.0,13.0,28.0,1,0,0,0
6.0,21.0,26.0,1,1,1,0
12.0,27.0,7.0,0,1,0,1
7.0,24.0,16.0,1,1,1,1
15.0,26.0,19.0,0,1,1,1
3.0,20.0,25.0,0,1,1,0
10.0,0.0,45.0,0,0,1,0
10.0,5.0,22.0,1,0,1,1
17.0,24.0,15.0,0,1,1,1
5.0,17.0,27.0,1,0,1,1
18.0,14.0,15.0,0,0,0,0
20.0,13.0,20.0,0,0,0,0
17.0,29.0,9.0,0,1,0,1
9.0,12.0,21.0,0,1,1,0
9.0,21.0,19.0,0,1,1,0
4.0,38.0,16.0,0,1,0,0
13.0,6.0,29.0,0,0,1,0
15.0,17.0,17.0,0,0,0,0
10.0,2.0,27.0,0,0,1,0
18.0,20.0,3.0,0,0,0,1
14.0,30.0,11.0,0,1,0,1
13.0,30.0,9.0,0,1,0,1
19.0,4.0,34.0,0,0,1,0
18.0,15.0,13.0,0,1,1,1
12.0,17.0,26.0,0,1,1,0
8.0,1.0,34.0,0,0,1,0
14.0,21.0,10.0,1,1,1,1
17.0,25.0,14.0,0,1,1,1
13.0,17.0,20.0,0,0,0,0
7.0,32.0,14.0,0,1,0,0
19.0,15.0,16.0,0,0,1,1
25.0,13.0,21.0,0,0,1,1
17.0,22.0,16.0,0,1,1,1
28.0,15.0,11.0,0,0,0,0
12.0,22.0,22.0,0,1,1,1
15.0,13.0,18.0,0,0,0,0
28.0,28.0,1.0,0,0,0,1
12.0,16.0,11.0,0,1,1,1
6.0,18.0,33.0,1,0,1,0
15.0,17.0,15.0,0,0,0,0
19.0,16.0,20.0,0,0,1,1
12.0,13.0,25.0,1,0,1,1
9.0,24.0,6.0,0,1,0,0
11.0,20.0,13.0,1,1,0,1
8.0,23.0,24.0,1,1,1,0
13.0,17.0,16.0,0,0,1,1
10.0,18.0,31.0,1,0,1,1
22.0,26.0,7.0,0,0,0,1
15.0,25.0,11.0,0,1,1,0
18.0,22.0,7.0,0,1,0,1
14.0,4.0,38.0,0,0,1,0
16.0,32.0,13.0,0,1,0,1
12.0,13.0,36.0,1,0,1,0
6.0,23.0,27.0,1,0,0,0
8.0,29.0,8.0,0,1,0,0
16.0,3.0,34.0,0,0,1,0
12.0,22.0,18.0,0,0,0,0
10.0,16.0,24.0,0,1,1,0
8.0,20.0,23.0,1,1,1,0
14.0,13.0,26.0,0,0,1,1
6.0,17.0,32.0,1,1,1,0
13.0,21.0,8.0,0,1,0,1
23.0,31.0,5.0,0,0,0,1
14.0,20.0,15.0,0,0,0,0
8.0,22.0,27.0,1,1,1,0
18.0,19.0,16.0,0,1,1,1
8.0,21.0,13.0,1,1,1,1
12.0,16.0,20.0,0,1,1,0
20.0,34.0,9.0,0,1,0,1
16.0,23.0,15.0,0,1,1,1
13.0,25.0,6.0,0,0,0,1
10.0,11.0,29.0,1,0,1,0
15.0,10.0,23.0,0,0,1,1
18.0,16.0,22.0,0,0,0,0
17.0,9.0,18.0,0,0,1,1
19.0,26.0,8.0,0,1,0,1
19.0,36.0,9.0,0,1,0,1
9.0,24.0,14.0,0,1,1,0
13.0,29.0,17.0,1,1,1,1
9.0,13.0,20.0,1,1,1,1
6.0,42.0,10.0,0,1,0,0
19.0,33.0,4.0,0,0,0,1
9.0,25.0,33.0,1,0,0,0
12.0,19.0,11.0,1,1,1,1
10.0,38.0,9.0,0,1,0,0
20.0,19.0,2.0,0,0,0,1
10.0,14.0,36.0,1,0,1,0
18.0,34.0,6.0,0,1,0,1
5.0,18.0,31.0,1,0,0,0
14.0,16.0,24.0,0,0,0,0
4.0,24.0,17.0,1,0,0,0
15.0,21.0,18.0,0,1,1,1
14.0,34.0,6.0,0,1,0,1
13.0,15.0,14.0,0,0,0,0
26.0,24.0,5.0,0,0,0,1
11.0,7.0,31.0,0,0,1,0
5.0,19.0,28.0,1,0,0,0
8.0,22.0,7.0,0,1,0,1
9.0,27.0,6.0,1,1,0,1
19.0,40.0,6.0,0,1,0,1
9.0,14.0,15.0,0,0,0,0
15.0,22.0,14.0,0,0,0,0
15.0,12.0,13.0,0,0,0,0
14.0,20.0,15.0,0,1,1,1
17.0,17.0,16.0,0,0,0,0
14.0,23.0,15.0,0,0,1,1
6.0,16.0,13.0,0,0,0,0
11.0,28.0,6.0,0,1,0,1
3.0,39.0,12.0,0,1,0,0
10.0,23.0,19.0,1,1,0,1
8.0,36.0,7.0,0,1,0,0
10.0,4.0,39.0,0,0,1,0
21.0,31.0,2.0,0,0,0,1
25.0,16.0,14.0,0,0,1,1
11.0,24.0,10.0,0,1,0,1
9.0,14.0,19.0,1,1,1,0
16.0,18.0,20.0,1,0,1,1
7.0,34.0,14.0,1,1,0,0
7.0,43.0,7.0,0,1,0,0
14.0,28.0,21.0,1,1,0,1
10.0,20.0,14.0,1,1,1,1
19.0,6.0,35.0,0,0,1,0
6.0,16.0,22.0,0,1,1,0
9.0,22.0,11.0,0,1,0,0
8.0,5.0,36.0,0,0,1,0
11.0,18.0,25.0,1,1,1,0
6.0,14.0,24.0,1,0,1,0
24.0,16.0,14.0,0,0,0,0
10.0,3.0,41.0,0,0,1,0
10.0,23.0,34.0,0,1,1,0
7.0,19.0,16.0,0,1,1,1
12.0,7.0,31.0,0,0,1,0
10.0,14.0,27.0,0,1,1,0
11.0,24.0,16.0,1,1,0,1
20.0,22.0,23.0,0,1,1,1
8.0,27.0,8.0,1,1,0,1
9.0,18.0,23.0,0,1,1,0
14.0,22.0,5.0,0,0,0,1
19.0,20.0,17.0,0,0,0,0
10.0,30.0,17.0,0,1,0,0
19.0,23.0,18.0,1,0,0,1
27.0,28.0,5.0,0,0,0,1
13.0,12.0,25.0,0,1,1,0
5.0,36.0,6.0,0,1,0,0
